ons_la_code_apr_2019,borough,quarter,count
E09000007,Camden,2016-07-01,342
E09000001,City of London,2016-07-01,59
E09000008,Croydon,2016-07-01,95
E09000009,Ealing,2016-07-01,165
E09000010,Enfield,2016-07-01,115
E09000011,Greenwich,2016-07-01,76
E09000012,Hackney,2016-07-01,109
E09000013,Hammersmith and Fulham,2016-07-01,106
E09000014,Haringey,2016-07-01,147
E09000015,Harrow,2016-07-01,97
E09000016,Havering,2016-07-01,134
E09000017,Hillingdon,2016-07-01,351
E09000018,Hounslow,2016-07-01,327
E09000019,Islington,2016-07-01,159
E09000020,Kensington and Chelsea,2016-07-01,210
E09000021,Kingston upon Thames,2016-07-01,71
E09000022,Lambeth,2016-07-01,139
E09000023,Lewisham,2016-07-01,55
E09000024,Merton,2016-07-01,95
E09000025,Newham,2016-07-01,43
E09000026,Redbridge,2016-07-01,94
E09000027,Richmond upon Thames,2016-07-01,95
E09000028,Southwark,2016-07-01,179
E09000029,Sutton,2016-07-01,60
E09000030,Tower Hamlets,2016-07-01,77
E09000031,Waltham Forest,2016-07-01,66
E09000032,Wandsworth,2016-07-01,131
E09000033,Westminster,2016-07-01,441
E09000002,Barking and Dagenham,2016-10-01,48
E09000003,Barnet,2016-10-01,481
E09000004,Bexley,2016-10-01,65
E09000005,Brent,2016-10-01,250
E09000006,Bromley,2016-10-01,166
E09000007,Camden,2016-10-01,341
E09000001,City of London,2016-10-01,60
E09000008,Croydon,2016-10-01,102
E09000009,Ealing,2016-10-01,170
E09000010,Enfield,2016-10-01,114
E09000011,Greenwich,2016-10-01,78
E09000012,Hackney,2016-10-01,77
E09000013,Hammersmith and Fulham,2016-10-01,110
E09000014,Haringey,2016-10-01,150
E09000015,Harrow,2016-10-01,110
E09000016,Havering,2016-10-01,145
E09000017,Hillingdon,2016-10-01,412
E09000018,Hounslow,2016-10-01,327
E09000019,Islington,2016-10-01,160
E09000020,Kensington and Chelsea,2016-10-01,215
E09000021,Kingston upon Thames,2016-10-01,79
E09000022,Lambeth,2016-10-01,133
E09000023,Lewisham,2016-10-01,62
E09000024,Merton,2016-10-01,128
E09000025,Newham,2016-10-01,44
E09000026,Redbridge,2016-10-01,99
E09000027,Richmond upon Thames,2016-10-01,101
E09000028,Southwark,2016-10-01,199
E09000029,Sutton,2016-10-01,59
E09000030,Tower Hamlets,2016-10-01,78
E09000031,Waltham Forest,2016-10-01,68
E09000032,Wandsworth,2016-10-01,133
E09000033,Westminster,2016-10-01,498
E09000002,Barking and Dagenham,2017-01-01,49
E09000003,Barnet,2017-01-01,562
E09000004,Bexley,2017-01-01,79
E09000005,Brent,2017-01-01,183
E09000006,Bromley,2017-01-01,178
E09000007,Camden,2017-01-01,367
E09000001,City of London,2017-01-01,62
E09000008,Croydon,2017-01-01,120
E09000009,Ealing,2017-01-01,194
E09000010,Enfield,2017-01-01,129
E09000011,Greenwich,2017-01-01,81
E09000012,Hackney,2017-01-01,83
E09000013,Hammersmith and Fulham,2017-01-01,172
E09000014,Haringey,2017-01-01,168
E09000015,Harrow,2017-01-01,131
E09000016,Havering,2017-01-01,166
E09000017,Hillingdon,2017-01-01,574
E09000018,Hounslow,2017-01-01,347
E09000019,Islington,2017-01-01,183
E09000020,Kensington and Chelsea,2017-01-01,250
E09000021,Kingston upon Thames,2017-01-01,86
E09000022,Lambeth,2017-01-01,143
E09000023,Lewisham,2017-01-01,72
E09000024,Merton,2017-01-01,143
E09000025,Newham,2017-01-01,53
E09000026,Redbridge,2017-01-01,125
E09000027,Richmond upon Thames,2017-01-01,121
E09000028,Southwark,2017-01-01,204
E09000029,Sutton,2017-01-01,62
E09000030,Tower Hamlets,2017-01-01,77
E09000031,Waltham Forest,2017-01-01,54
E09000032,Wandsworth,2017-01-01,154
E09000033,Westminster,2017-01-01,497
E09000002,Barking and Dagenham,2017-04-01,48
E09000003,Barnet,2017-04-01,583
E09000004,Bexley,2017-04-01,86
E09000005,Brent,2017-04-01,198
E09000006,Bromley,2017-04-01,197
E09000007,Camden,2017-04-01,392
E09000001,City of London,2017-04-01,43
E09000008,Croydon,2017-04-01,134
E09000009,Ealing,2017-04-01,209
E09000010,Enfield,2017-04-01,136
E09000011,Greenwich,2017-04-01,90
E09000012,Hackney,2017-04-01,90
E09000013,Hammersmith and Fulham,2017-04-01,187
E09000014,Haringey,2017-04-01,174
E09000015,Harrow,2017-04-01,158
E09000016,Havering,2017-04-01,165
E09000017,Hillingdon,2017-04-01,644
E09000018,Hounslow,2017-04-01,340
E09000019,Islington,2017-04-01,181
E09000020,Kensington and Chelsea,2017-04-01,279
E09000021,Kingston upon Thames,2017-04-01,93
E09000022,Lambeth,2017-04-01,157
E09000023,Lewisham,2017-04-01,74
E09000024,Merton,2017-04-01,152
E09000025,Newham,2017-04-01,65
E09000026,Redbridge,2017-04-01,129
E09000027,Richmond upon Thames,2017-04-01,148
E09000028,Southwark,2017-04-01,209
E09000029,Sutton,2017-04-01,76
E09000030,Tower Hamlets,2017-04-01,91
E09000031,Waltham Forest,2017-04-01,51
E09000032,Wandsworth,2017-04-01,166
E09000033,Westminster,2017-04-01,587
E09000002,Barking and Dagenham,2017-07-01,47
E09000003,Barnet,2017-07-01,615
E09000004,Bexley,2017-07-01,93
E09000005,Brent,2017-07-01,211
E09000006,Bromley,2017-07-01,210
E09000007,Camden,2017-07-01,407
E09000001,City of London,2017-07-01,46
E09000008,Croydon,2017-07-01,154
E09000009,Ealing,2017-07-01,280
E09000010,Enfield,2017-07-01,146
E09000011,Greenwich,2017-07-01,110
E09000012,Hackney,2017-07-01,101
E09000013,Hammersmith and Fulham,2017-07-01,193
E09000014,Haringey,2017-07-01,189
E09000015,Harrow,2017-07-01,167
E09000016,Havering,2017-07-01,165
E09000017,Hillingdon,2017-07-01,800
E09000018,Hounslow,2017-07-01,358
E09000019,Islington,2017-07-01,192
E09000020,Kensington and Chelsea,2017-07-01,327
E09000021,Kingston upon Thames,2017-07-01,104
E09000022,Lambeth,2017-07-01,170
E09000023,Lewisham,2017-07-01,88
E09000024,Merton,2017-07-01,163
E09000025,Newham,2017-07-01,60
E09000026,Redbridge,2017-07-01,136
E09000027,Richmond upon Thames,2017-07-01,168
E09000028,Southwark,2017-07-01,219
E09000029,Sutton,2017-07-01,85
E09000030,Tower Hamlets,2017-07-01,104
E09000031,Waltham Forest,2017-07-01,55
E09000032,Wandsworth,2017-07-01,188
E09000033,Westminster,2017-07-01,670
E09000002,Barking and Dagenham,2017-10-01,47
E09000003,Barnet,2017-10-01,638
E09000004,Bexley,2017-10-01,100
E09000005,Brent,2017-10-01,225
E09000006,Bromley,2017-10-01,224
E09000007,Camden,2017-10-01,433
E09000001,City of London,2017-10-01,61
E09000008,Croydon,2017-10-01,167
E09000009,Ealing,2017-10-01,298
E09000010,Enfield,2017-10-01,160
E09000011,Greenwich,2017-10-01,124
E09000012,Hackney,2017-10-01,118
E09000013,Hammersmith and Fulham,2017-10-01,206
E09000014,Haringey,2017-10-01,192
E09000015,Harrow,2017-10-01,183
E09000016,Havering,2017-10-01,169
E09000017,Hillingdon,2017-10-01,599
E09000018,Hounslow,2017-10-01,390
E09000019,Islington,2017-10-01,195
E09000020,Kensington and Chelsea,2017-10-01,346
E09000021,Kingston upon Thames,2017-10-01,115
E09000022,Lambeth,2017-10-01,183
E09000023,Lewisham,2017-10-01,91
E09000024,Merton,2017-10-01,192
E09000025,Newham,2017-10-01,67
E09000026,Redbridge,2017-10-01,155
E09000027,Richmond upon Thames,2017-10-01,186
E09000028,Southwark,2017-10-01,231
E09000029,Sutton,2017-10-01,95
E09000030,Tower Hamlets,2017-10-01,115
E09000031,Waltham Forest,2017-10-01,63
E09000032,Wandsworth,2017-10-01,216
E09000033,Westminster,2017-10-01,767
E09000002,Barking and Dagenham,2018-01-01,54
E09000003,Barnet,2018-01-01,668
E09000004,Bexley,2018-01-01,109
E09000005,Brent,2018-01-01,230
E09000006,Bromley,2018-01-01,246
E09000007,Camden,2018-01-01,443
E09000001,City of London,2018-01-01,66
E09000008,Croydon,2018-01-01,183
E09000009,Ealing,2018-01-01,334
E09000010,Enfield,2018-01-01,173
E09000011,Greenwich,2018-01-01,138
E09000012,Hackney,2018-01-01,122
E09000013,Hammersmith and Fulham,2018-01-01,228
E09000014,Haringey,2018-01-01,206
E09000015,Harrow,2018-01-01,188
E09000016,Havering,2018-01-01,192
E09000017,Hillingdon,2018-01-01,508
E09000018,Hounslow,2018-01-01,402
E09000019,Islington,2018-01-01,206
E09000020,Kensington and Chelsea,2018-01-01,357
E09000021,Kingston upon Thames,2018-01-01,132
E09000022,Lambeth,2018-01-01,195
E09000023,Lewisham,2018-01-01,97
E09000024,Merton,2018-01-01,211
E09000025,Newham,2018-01-01,67
E09000026,Redbridge,2018-01-01,163
E09000027,Richmond upon Thames,2018-01-01,197
E09000028,Southwark,2018-01-01,233
E09000029,Sutton,2018-01-01,106
E09000030,Tower Hamlets,2018-01-01,140
E09000031,Waltham Forest,2018-01-01,69
E09000032,Wandsworth,2018-01-01,237
E09000033,Westminster,2018-01-01,812
E09000002,Barking and Dagenham,2018-04-01,59
E09000003,Barnet,2018-04-01,701
E09000004,Bexley,2018-04-01,125
E09000005,Brent,2018-04-01,261
E09000006,Bromley,2018-04-01,268
E09000007,Camden,2018-04-01,468
E09000001,City of London,2018-04-01,66
E09000008,Croydon,2018-04-01,201
E09000009,Ealing,2018-04-01,349
E09000010,Enfield,2018-04-01,179
E09000011,Greenwich,2018-04-01,152
E09000012,Hackney,2018-04-01,129
E09000013,Hammersmith and Fulham,2018-04-01,239
E09000014,Haringey,2018-04-01,217
E09000015,Harrow,2018-04-01,199
E09000016,Havering,2018-04-01,183
E09000017,Hillingdon,2018-04-01,572
E09000018,Hounslow,2018-04-01,409
E09000019,Islington,2018-04-01,220
E09000020,Kensington and Chelsea,2018-04-01,380
E09000021,Kingston upon Thames,2018-04-01,143
E09000022,Lambeth,2018-04-01,206
E09000023,Lewisham,2018-04-01,106
E09000024,Merton,2018-04-01,220
E09000025,Newham,2018-04-01,70
E09000026,Redbridge,2018-04-01,172
E09000027,Richmond upon Thames,2018-04-01,230
E09000028,Southwark,2018-04-01,273
E09000029,Sutton,2018-04-01,115
E09000030,Tower Hamlets,2018-04-01,131
E09000031,Waltham Forest,2018-04-01,76
E09000032,Wandsworth,2018-04-01,262
E09000033,Westminster,2018-04-01,847
E09000002,Barking and Dagenham,2018-07-01,60
E09000003,Barnet,2018-07-01,742
E09000004,Bexley,2018-07-01,133
E09000005,Brent,2018-07-01,292
E09000006,Bromley,2018-07-01,292
E09000007,Camden,2018-07-01,479
E09000001,City of London,2018-07-01,70
E09000008,Croydon,2018-07-01,212
E09000009,Ealing,2018-07-01,380
E09000010,Enfield,2018-07-01,202
E09000011,Greenwich,2018-07-01,164
E09000012,Hackney,2018-07-01,139
E09000013,Hammersmith and Fulham,2018-07-01,255
E09000014,Haringey,2018-07-01,234
E09000015,Harrow,2018-07-01,215
E09000016,Havering,2018-07-01,177
E09000017,Hillingdon,2018-07-01,568
E09000018,Hounslow,2018-07-01,425
E09000019,Islington,2018-07-01,233
E09000020,Kensington and Chelsea,2018-07-01,419
E09000021,Kingston upon Thames,2018-07-01,161
E09000022,Lambeth,2018-07-01,211
E09000023,Lewisham,2018-07-01,117
E09000024,Merton,2018-07-01,227
E09000025,Newham,2018-07-01,76
E09000026,Redbridge,2018-07-01,186
E09000027,Richmond upon Thames,2018-07-01,280
E09000028,Southwark,2018-07-01,299
E09000029,Sutton,2018-07-01,122
E09000030,Tower Hamlets,2018-07-01,147
E09000031,Waltham Forest,2018-07-01,81
E09000032,Wandsworth,2018-07-01,285
E09000033,Westminster,2018-07-01,875
E09000002,Barking and Dagenham,2018-10-01,58
E09000003,Barnet,2018-10-01,798
E09000004,Bexley,2018-10-01,146
E09000005,Brent,2018-10-01,311
E09000006,Bromley,2018-10-01,311
E09000007,Camden,2018-10-01,504
E09000001,City of London,2018-10-01,68
E09000008,Croydon,2018-10-01,237
E09000009,Ealing,2018-10-01,407
E09000010,Enfield,2018-10-01,218
E09000011,Greenwich,2018-10-01,180
E09000012,Hackney,2018-10-01,161
E09000013,Hammersmith and Fulham,2018-10-01,248
E09000014,Haringey,2018-10-01,255
E09000015,Harrow,2018-10-01,237
E09000016,Havering,2018-10-01,180
E09000017,Hillingdon,2018-10-01,633
E09000018,Hounslow,2018-10-01,437
E09000019,Islington,2018-10-01,387
E09000020,Kensington and Chelsea,2018-10-01,458
E09000021,Kingston upon Thames,2018-10-01,176
E09000022,Lambeth,2018-10-01,238
E09000023,Lewisham,2018-10-01,122
E09000024,Merton,2018-10-01,246
E09000025,Newham,2018-10-01,80
E09000026,Redbridge,2018-10-01,197
E09000027,Richmond upon Thames,2018-10-01,313
E09000028,Southwark,2018-10-01,325
E09000029,Sutton,2018-10-01,129
E09000030,Tower Hamlets,2018-10-01,154
E09000031,Waltham Forest,2018-10-01,87
E09000032,Wandsworth,2018-10-01,322
E09000033,Westminster,2018-10-01,922
E09000002,Barking and Dagenham,2019-01-01,63
E09000003,Barnet,2019-01-01,892
E09000004,Bexley,2019-01-01,168
E09000005,Brent,2019-01-01,331
E09000006,Bromley,2019-01-01,341
E09000007,Camden,2019-01-01,526
E09000001,City of London,2019-01-01,77
E09000008,Croydon,2019-01-01,263
E09000009,Ealing,2019-01-01,448
E09000010,Enfield,2019-01-01,235
E09000011,Greenwich,2019-01-01,191
E09000012,Hackney,2019-01-01,158
E09000013,Hammersmith and Fulham,2019-01-01,343
E09000014,Haringey,2019-01-01,281
E09000015,Harrow,2019-01-01,270
E09000016,Havering,2019-01-01,173
E09000017,Hillingdon,2019-01-01,659
E09000018,Hounslow,2019-01-01,456
E09000019,Islington,2019-01-01,417
E09000020,Kensington and Chelsea,2019-01-01,494
E09000021,Kingston upon Thames,2019-01-01,192
E09000022,Lambeth,2019-01-01,262
E09000023,Lewisham,2019-01-01,135
E09000024,Merton,2019-01-01,263
E09000025,Newham,2019-01-01,86
E09000026,Redbridge,2019-01-01,210
E09000027,Richmond upon Thames,2019-01-01,358
E09000028,Southwark,2019-01-01,376
E09000029,Sutton,2019-01-01,143
E09000030,Tower Hamlets,2019-01-01,171
E09000031,Waltham Forest,2019-01-01,91
E09000032,Wandsworth,2019-01-01,360
E09000033,Westminster,2019-01-01,1069
E09000002,Barking and Dagenham,2019-04-01,67
E09000003,Barnet,2019-04-01,960
E09000004,Bexley,2019-04-01,169
E09000005,Brent,2019-04-01,378
E09000006,Bromley,2019-04-01,372
E09000007,Camden,2019-04-01,575
E09000001,City of London,2019-04-01,81
E09000008,Croydon,2019-04-01,275
E09000009,Ealing,2019-04-01,472
E09000010,Enfield,2019-04-01,250
E09000011,Greenwich,2019-04-01,208
E09000012,Hackney,2019-04-01,186
E09000013,Hammersmith and Fulham,2019-04-01,409
E09000014,Haringey,2019-04-01,308
E09000015,Harrow,2019-04-01,290
E09000016,Havering,2019-04-01,179
E09000017,Hillingdon,2019-04-01,639
E09000018,Hounslow,2019-04-01,464
E09000019,Islington,2019-04-01,431
E09000020,Kensington and Chelsea,2019-04-01,540
E09000021,Kingston upon Thames,2019-04-01,217
E09000022,Lambeth,2019-04-01,300
E09000023,Lewisham,2019-04-01,149
E09000024,Merton,2019-04-01,292
E09000025,Newham,2019-04-01,97
E09000026,Redbridge,2019-04-01,225
E09000027,Richmond upon Thames,2019-04-01,409
E09000028,Southwark,2019-04-01,433
E09000029,Sutton,2019-04-01,165
E09000030,Tower Hamlets,2019-04-01,169
E09000031,Waltham Forest,2019-04-01,96
E09000032,Wandsworth,2019-04-01,431
E09000033,Westminster,2019-04-01,1079
E09000002,Barking and Dagenham,2019-07-01,69
E09000003,Barnet,2019-07-01,1139
E09000004,Bexley,2019-07-01,195
E09000005,Brent,2019-07-01,454
E09000006,Bromley,2019-07-01,426
E09000007,Camden,2019-07-01,657
E09000001,City of London,2019-07-01,92
E09000008,Croydon,2019-07-01,321
E09000009,Ealing,2019-07-01,522
E09000010,Enfield,2019-07-01,283
E09000011,Greenwich,2019-07-01,239
E09000012,Hackney,2019-07-01,208
E09000013,Hammersmith and Fulham,2019-07-01,491
E09000014,Haringey,2019-07-01,368
E09000015,Harrow,2019-07-01,352
E09000016,Havering,2019-07-01,214
E09000017,Hillingdon,2019-07-01,829
E09000018,Hounslow,2019-07-01,507
E09000019,Islington,2019-07-01,459
E09000020,Kensington and Chelsea,2019-07-01,607
E09000021,Kingston upon Thames,2019-07-01,281
E09000022,Lambeth,2019-07-01,333
E09000023,Lewisham,2019-07-01,189
E09000024,Merton,2019-07-01,365
E09000025,Newham,2019-07-01,123
E09000026,Redbridge,2019-07-01,251
E09000027,Richmond upon Thames,2019-07-01,491
E09000028,Southwark,2019-07-01,496
E09000029,Sutton,2019-07-01,184
E09000030,Tower Hamlets,2019-07-01,200
E09000031,Waltham Forest,2019-07-01,119
E09000032,Wandsworth,2019-07-01,512
E09000033,Westminster,2019-07-01,1178
E09000002,Barking and Dagenham,2019-10-01,84
E09000003,Barnet,2019-10-01,1198
E09000004,Bexley,2019-10-01,219
E09000005,Brent,2019-10-01,500
E09000006,Bromley,2019-10-01,498
E09000007,Camden,2019-10-01,700
E09000001,City of London,2019-10-01,99
E09000008,Croydon,2019-10-01,349
E09000009,Ealing,2019-10-01,572
E09000010,Enfield,2019-10-01,306
E09000011,Greenwich,2019-10-01,275
E09000012,Hackney,2019-10-01,211
E09000013,Hammersmith and Fulham,2019-10-01,655
E09000014,Haringey,2019-10-01,403
E09000015,Harrow,2019-10-01,383
E09000016,Havering,2019-10-01,230
E09000017,Hillingdon,2019-10-01,891
E09000018,Hounslow,2019-10-01,533
E09000019,Islington,2019-10-01,489
E09000020,Kensington and Chelsea,2019-10-01,678
E09000021,Kingston upon Thames,2019-10-01,320
E09000022,Lambeth,2019-10-01,363
E09000023,Lewisham,2019-10-01,206
E09000024,Merton,2019-10-01,397
E09000025,Newham,2019-10-01,137
E09000026,Redbridge,2019-10-01,274
E09000027,Richmond upon Thames,2019-10-01,537
E09000028,Southwark,2019-10-01,528
E09000029,Sutton,2019-10-01,207
E09000030,Tower Hamlets,2019-10-01,210
E09000031,Waltham Forest,2019-10-01,139
E09000032,Wandsworth,2019-10-01,566
E09000033,Westminster,2019-10-01,1524
E09000002,Barking and Dagenham,2020-01-01,122
E09000003,Barnet,2020-01-01,1291
E09000004,Bexley,2020-01-01,254
E09000005,Brent,2020-01-01,520
E09000006,Bromley,2020-01-01,548
E09000007,Camden,2020-01-01,764
E09000001,City of London,2020-01-01,102
E09000008,Croydon,2020-01-01,408
E09000009,Ealing,2020-01-01,640
E09000010,Enfield,2020-01-01,347
E09000011,Greenwich,2020-01-01,316
E09000012,Hackney,2020-01-01,249
E09000013,Hammersmith and Fulham,2020-01-01,818
E09000014,Haringey,2020-01-01,449
E09000015,Harrow,2020-01-01,446
E09000016,Havering,2020-01-01,281
E09000017,Hillingdon,2020-01-01,958
E09000018,Hounslow,2020-01-01,578
E09000019,Islington,2020-01-01,401
E09000020,Kensington and Chelsea,2020-01-01,712
E09000021,Kingston upon Thames,2020-01-01,341
E09000022,Lambeth,2020-01-01,381
E09000023,Lewisham,2020-01-01,226
E09000024,Merton,2020-01-01,482
E09000025,Newham,2020-01-01,157
E09000026,Redbridge,2020-01-01,314
E09000027,Richmond upon Thames,2020-01-01,623
E09000028,Southwark,2020-01-01,571
E09000029,Sutton,2020-01-01,238
E09000030,Tower Hamlets,2020-01-01,280
E09000031,Waltham Forest,2020-01-01,164
E09000032,Wandsworth,2020-01-01,623
E09000033,Westminster,2020-01-01,1451
E09000002,Barking and Dagenham,2020-04-01,137
E09000003,Barnet,2020-04-01,1359
E09000004,Bexley,2020-04-01,266
E09000005,Brent,2020-04-01,548
E09000006,Bromley,2020-04-01,583
E09000007,Camden,2020-04-01,835
E09000001,City of London,2020-04-01,106
E09000008,Croydon,2020-04-01,452
E09000009,Ealing,2020-04-01,664
E09000010,Enfield,2020-04-01,367
E09000011,Greenwich,2020-04-01,342
E09000012,Hackney,2020-04-01,275
E09000013,Hammersmith and Fulham,2020-04-01,853
E09000014,Haringey,2020-04-01,467
E09000015,Harrow,2020-04-01,467
E09000016,Havering,2020-04-01,285
E09000017,Hillingdon,2020-04-01,1092
E09000018,Hounslow,2020-04-01,597
E09000019,Islington,2020-04-01,433
E09000020,Kensington and Chelsea,2020-04-01,758
E09000021,Kingston upon Thames,2020-04-01,357
E09000022,Lambeth,2020-04-01,400
E09000023,Lewisham,2020-04-01,256
E09000024,Merton,2020-04-01,531
E09000025,Newham,2020-04-01,173
E09000026,Redbridge,2020-04-01,343
E09000027,Richmond upon Thames,2020-04-01,665
E09000028,Southwark,2020-04-01,613
E09000029,Sutton,2020-04-01,250
E09000030,Tower Hamlets,2020-04-01,300
E09000031,Waltham Forest,2020-04-01,190
E09000032,Wandsworth,2020-04-01,660
E09000033,Westminster,2020-04-01,1522
E09000002,Barking and Dagenham,2020-07-01,169
E09000003,Barnet,2020-07-01,1619
E09000004,Bexley,2020-07-01,320
E09000005,Brent,2020-07-01,662
E09000006,Bromley,2020-07-01,689
E09000007,Camden,2020-07-01,1029
E09000001,City of London,2020-07-01,153
E09000008,Croydon,2020-07-01,563
E09000009,Ealing,2020-07-01,777
E09000010,Enfield,2020-07-01,476
E09000011,Greenwich,2020-07-01,407
E09000012,Hackney,2020-07-01,407
E09000013,Hammersmith and Fulham,2020-07-01,1004
E09000014,Haringey,2020-07-01,578
E09000015,Harrow,2020-07-01,550
E09000016,Havering,2020-07-01,420
E09000017,Hillingdon,2020-07-01,1686
E09000018,Hounslow,2020-07-01,701
E09000019,Islington,2020-07-01,547
E09000020,Kensington and Chelsea,2020-07-01,884
E09000021,Kingston upon Thames,2020-07-01,411
E09000022,Lambeth,2020-07-01,503
E09000023,Lewisham,2020-07-01,328
E09000024,Merton,2020-07-01,636
E09000025,Newham,2020-07-01,240
E09000026,Redbridge,2020-07-01,427
E09000027,Richmond upon Thames,2020-07-01,802
E09000028,Southwark,2020-07-01,706
E09000029,Sutton,2020-07-01,321
E09000030,Tower Hamlets,2020-07-01,407
E09000031,Waltham Forest,2020-07-01,237
E09000032,Wandsworth,2020-07-01,795
E09000033,Westminster,2020-07-01,1717
E09000002,Barking and Dagenham,2020-10-01,206
E09000003,Barnet,2020-10-01,1864
E09000004,Bexley,2020-10-01,361
E09000005,Brent,2020-10-01,727
E09000006,Bromley,2020-10-01,804
E09000007,Camden,2020-10-01,1176
E09000001,City of London,2020-10-01,175
E09000008,Croydon,2020-10-01,652
E09000009,Ealing,2020-10-01,1016
E09000010,Enfield,2020-10-01,563
E09000011,Greenwich,2020-10-01,465
E09000012,Hackney,2020-10-01,403
E09000013,Hammersmith and Fulham,2020-10-01,1180
E09000014,Haringey,2020-10-01,652
E09000015,Harrow,2020-10-01,620
E09000016,Havering,2020-10-01,524
E09000017,Hillingdon,2020-10-01,2425
E09000018,Hounslow,2020-10-01,757
E09000019,Islington,2020-10-01,602
E09000020,Kensington and Chelsea,2020-10-01,996
E09000021,Kingston upon Thames,2020-10-01,471
E09000022,Lambeth,2020-10-01,570
E09000023,Lewisham,2020-10-01,384
E09000024,Merton,2020-10-01,733
E09000025,Newham,2020-10-01,293
E09000026,Redbridge,2020-10-01,501
E09000027,Richmond upon Thames,2020-10-01,926
E09000028,Southwark,2020-10-01,809
E09000029,Sutton,2020-10-01,364
E09000030,Tower Hamlets,2020-10-01,495
E09000031,Waltham Forest,2020-10-01,266
E09000032,Wandsworth,2020-10-01,916
E09000033,Westminster,2020-10-01,1950
E09000002,Barking and Dagenham,2021-01-01,227
E09000003,Barnet,2021-01-01,2085
E09000004,Bexley,2021-01-01,413
E09000005,Brent,2021-01-01,813
E09000006,Bromley,2021-01-01,882
E09000007,Camden,2021-01-01,1285
E09000001,City of London,2021-01-01,170
E09000008,Croydon,2021-01-01,724
E09000009,Ealing,2021-01-01,1274
E09000010,Enfield,2021-01-01,624
E09000011,Greenwich,2021-01-01,515
E09000012,Hackney,2021-01-01,427
E09000013,Hammersmith and Fulham,2021-01-01,1255
E09000014,Haringey,2021-01-01,720
E09000015,Harrow,2021-01-01,701
E09000016,Havering,2021-01-01,631
E09000017,Hillingdon,2021-01-01,2911
E09000018,Hounslow,2021-01-01,811
E09000019,Islington,2021-01-01,691
E09000020,Kensington and Chelsea,2021-01-01,1068
E09000021,Kingston upon Thames,2021-01-01,506
E09000022,Lambeth,2021-01-01,614
E09000023,Lewisham,2021-01-01,437
E09000024,Merton,2021-01-01,824
E09000025,Newham,2021-01-01,355
E09000026,Redbridge,2021-01-01,551
E09000027,Richmond upon Thames,2021-01-01,1165
E09000028,Southwark,2021-01-01,925
E09000029,Sutton,2021-01-01,395
E09000030,Tower Hamlets,2021-01-01,627
E09000031,Waltham Forest,2021-01-01,315
E09000032,Wandsworth,2021-01-01,1170
E09000033,Westminster,2021-01-01,2110
